name,salary_from,salary_to,salary_currency,area_name,published_at
Дизайнер интерьера,Алматы,150000.0,500000.0,KZT,2022-12-05T11:59:13+0300
Обрубщик,Тула,43680.0,,RUR,2022-12-05T10:53:28+0300
Эксперт Отдела анализа операционной эффективности,Ульяновск,75000.0,,RUR,2022-12-05T11:05:30+0300
Разработчик 1С,Алматы,600000.0,,KZT,2022-12-05T06:11:25+0300
Консультант 1С,Алматы,400000.0,,KZT,2022-12-05T08:14:43+0300
Начальник грузового района,Тюмень,,160000.0,RUR,2022-12-05T09:43:19+0300
Помощник руководителя по стройке и эксплуатации,Москва,80000.0,100000.0,RUR,2022-12-05T10:52:20+0300
Начальник управления развития и сопровождения электронного документооборота,Москва,250000.0,,RUR,2022-12-05T08:30:40+0300
Копирайтер,Краснодар,,30000.0,RUR,2022-12-05T09:05:19+0300
Системный администратор,Пенза,10000.0,,RUR,2022-12-05T10:26:47+0300
Оператор станков с программным управлением,Алексин,55000.0,65000.0,RUR,2022-12-05T11:31:26+0300
Программист Python,Кострома,125000.0,243000.0,RUR,2022-12-05T08:58:55+0300
Менеджер проектов,Королев,50000.0,,RUR,2022-12-05T09:15:13+0300
Руководитель проектов,Санкт-Петербург,90000.0,,RUR,2022-12-05T10:05:56+0300
Главный механик,Нижневартовск,150000.0,180000.0,RUR,2022-12-05T08:23:21+0300
Фрезеровщик-универсал,Владимир,70000.0,,RUR,2022-12-05T11:59:54+0300
Системный администратор,Челябинск,65000.0,,RUR,2022-12-05T10:08:57+0300
Дизайнер копицентра,Санкт-Петербург,30000.0,35000.0,RUR,2022-12-05T11:07:45+0300
Инженер разработчик ПЛИС,Москва,130000.0,220000.0,RUR,2022-12-05T09:12:12+0300
Оператор-наладчик,Серпухов,,60000.0,RUR,2022-12-05T09:02:32+0300
Системный администратор (г. Звенигород),Одинцово,92000.0,97000.0,RUR,2022-12-05T11:21:16+0300
Менеджер проекта,Казань,158000.0,335000.0,RUR,2022-12-05T08:54:09+0300
Слесарь по ремонту холодильного оборудования,Санкт-Петербург,60000.0,150000.0,RUR,2022-12-05T10:16:33+0300
Токарь-расточник,Пермь,50000.0,,RUR,2022-12-05T07:23:35+0300
"Менеджер чатов, на дому (в Яндекс)",Москва,25000.0,27000.0,RUR,2022-12-05T09:02:57+0300
Инженер Отдела технической поддержки,Алматы,150000.0,180000.0,KZT,2022-12-05T06:50:54+0300
Инженер отдела согласований,Стерлитамак,45000.0,45000.0,RUR,2022-12-05T10:27:22+0300
Специалист по информационной безопасности,Ярославль,40000.0,45000.0,RUR,2022-12-05T09:16:41+0300
Оператор станков с программным управлением,Глазов,40000.0,,RUR,2022-12-05T07:06:31+0300
Механик,Красноярск,40000.0,,RUR,2022-12-05T06:08:08+0300
Инженер службы подключений в г. Суоярви,Суоярви,30000.0,,RUR,2022-12-05T10:49:47+0300
Ученик оператора станков с ЧПУ,Екатеринбург,24200.0,,RUR,2022-12-05T07:24:56+0300
Начинающего специалиста по сервисному обслуживанию банковского оборудования,Одинцово,75000.0,,RUR,2022-12-05T11:57:26+0300
Фулстек-программист (php),Владивосток,60000.0,100000.0,RUR,2022-12-05T05:33:40+0300
Наладчик станков с ЧПУ,Заинск,40000.0,,RUR,2022-12-05T09:38:53+0300
Главный специалист-эксперт,Владивосток,36000.0,52000.0,RUR,2022-12-05T09:47:02+0300
Механик-водитель,Нижний Новгород,,90000.0,RUR,2022-12-05T10:16:41+0300
Главный редактор двух детских журналов,Москва,50000.0,,RUR,2022-12-05T11:02:34+0300
Токарь,Новосибирск,80000.0,100000.0,RUR,2022-12-05T07:17:20+0300
Наладчик (оператор) станков с ЧПУ,Екатеринбург,100000.0,150000.0,RUR,2022-12-05T06:40:42+0300
Оператор службы технической поддержки,Павлодар,150000.0,170000.0,KZT,2022-12-05T11:55:35+0300
Механик,Комсомольск-на-Амуре,160000.0,160000.0,RUR,2022-12-05T05:35:26+0300
Программист-стажер 1C,Пятигорск,40000.0,,RUR,2022-12-05T09:54:39+0300
Специалист по технической поддержке пользователей,Иркутск,50000.0,,RUR,2022-12-05T06:47:29+0300
Дизайнер (удаленно),Новосибирск,35000.0,,RUR,2022-12-05T05:21:59+0300
Токарь-универсал 5 разряда,Новосибирск,132000.0,147000.0,RUR,2022-12-05T08:44:17+0300
Ведущий специалист отдела контроля качества,Кострома,32000.0,,RUR,2022-12-05T07:19:47+0300
Специалист поддержки складских систем,Иркутск,90000.0,117000.0,RUR,2022-12-05T10:02:22+0300
Сервисный инженер,Челябинск,45000.0,,RUR,2022-12-05T09:50:32+0300
Системный администратор,Минск,1300.0,,BYR,2022-12-05T09:11:06+0300
Инспектор безопасности дорожного движения,Омск,40000.0,45000.0,RUR,2022-12-05T09:24:56+0300
Помощник системного администратора,Москва,,50000.0,RUR,2022-12-05T11:35:24+0300
Системный администратор,Химки,,150000.0,RUR,2022-12-05T10:12:56+0300
Аналитик (WEB-приложения),Воронеж,50000.0,,RUR,2022-12-05T09:57:19+0300
.Net Developer (Vietnam),Москва,2500.0,,USD,2022-12-05T06:52:04+0300
Механик по эксплуатации техники,Севастополь,51500.0,51500.0,RUR,2022-12-05T10:19:27+0300
"Инженер дежурной группы / Helpdesk/Service desk (сопровождение программного обеспечения, финтех)",Москва,50000.0,,RUR,2022-12-05T11:03:06+0300
Инженер по информационной безопасности,Екатеринбург,80000.0,120000.0,RUR,2022-12-05T08:09:03+0300
Инженер по сетевым технологиям,Хабаровск,100000.0,,RUR,2022-12-05T10:40:38+0300
Ночной помощник системного администратора в Yandex Cloud,Нижневартовск,32400.0,81000.0,RUR,2022-12-05T09:22:46+0300
Менеджер проекта (Прогнозирование и статистика),Москва,84000.0,,RUR,2022-12-05T10:03:20+0300
Токарь-универсал 5 разряда,Кемерово,132000.0,147000.0,RUR,2022-12-05T08:42:09+0300
Оператор станка с ЧПУ,Тула,46000.0,,RUR,2022-12-05T09:15:30+0300
Оператор станка с ЧПУ на производство,Королев,60000.0,100000.0,RUR,2022-12-05T11:41:30+0300
Станочник широкого профиля 5 разряда,Иркутск,124000.0,138000.0,RUR,2022-12-05T08:43:03+0300
Инженер-механик,Чита,,35000.0,RUR,2022-12-05T06:55:21+0300
Менеджер проекта,Волжский (Волгоградская область),25000.0,30000.0,RUR,2022-12-05T09:01:29+0300
Кабельщик-спайщик,Липецк,,33000.0,RUR,2022-12-05T09:50:25+0300
Программист - консультант 1С,Якутск,50000.0,100000.0,RUR,2022-12-05T06:22:33+0300
Механик (по вспомогательной технике),Актобе,266000.0,320000.0,KZT,2022-12-05T08:02:07+0300
Станочник широкого профиля 5 разряда,Новосибирск,124000.0,138000.0,RUR,2022-12-05T08:42:40+0300
Системный администратор (районная больница на Камчатке),Саянский,90000.0,90000.0,RUR,2022-12-05T10:37:36+0300
Системный администратор,Тверь,50000.0,,RUR,2022-12-05T11:26:02+0300
E-mail-маркетолог/аккаунт-менеджер в службу поддержки платформы e-mail маркетинга,Санкт-Петербург,100000.0,200000.0,RUR,2022-12-05T11:02:50+0300
Инженер коммерческого отдела,Щелково,50000.0,100000.0,RUR,2022-12-05T09:15:13+0300
Системный администратор (районная больница на Камчатке),Саянск,90000.0,90000.0,RUR,2022-12-05T10:37:36+0300
Установщик систем мониторинга,Благовещенск (Амурская область),100000.0,,RUR,2022-12-05T11:53:51+0300
Наладчик станков с ЧПУ,Набережные Челны,80400.0,,RUR,2022-12-05T09:38:31+0300
Станочник широкого профиля,Челябинск,85000.0,,RUR,2022-12-05T08:54:11+0300
Механизатор импортной сельхозтехники (категории DF),Ребриха,60000.0,150000.0,RUR,2022-12-05T10:39:38+0300
Фрезеровщик-присадчик,Ставрополь,30000.0,50000.0,RUR,2022-12-05T11:10:14+0300
Оператор станка с ЧПУ,Киров (Кировская область),45000.0,,RUR,2022-12-05T11:00:10+0300
Дизайнер,Ростов-на-Дону,,50000.0,RUR,2022-12-05T11:44:50+0300
Android Разработчик / Android Developer,Белгород,130000.0,180000.0,RUR,2022-12-05T11:30:32+0300
Монтажник радиоэлектронной аппаратуры,Уфа,40000.0,,RUR,2022-12-05T08:27:59+0300
Тестировщик-наладчик станков с ЧПУ,Иваново (Ивановская область),40000.0,50000.0,RUR,2022-12-05T09:10:26+0300
Графический дизайнер,Кокшетау,100000.0,,KZT,2022-12-05T06:44:17+0300
Ведущий инженер технической поддержки,Комсомольск-на-Амуре,,60000.0,RUR,2022-12-05T05:36:22+0300
Менеджер по развитию продукта,Москва,220000.0,300000.0,RUR,2022-12-05T11:28:18+0300
Техник по обслуживанию,Челябинск,35000.0,,RUR,2022-12-05T09:50:38+0300
Специалист по информационной безопасности,Якутск,50000.0,,RUR,2022-12-05T11:26:59+0300
Начинающий специалист по обслуживанию POS-терминального оборудования,Москва,65000.0,,RUR,2022-12-05T11:57:03+0300
Выездной мастер по ремонту холодильников,Калуга,50000.0,,RUR,2022-12-05T07:09:54+0300
Визуализатор/3D-моделлер,Тверь,40000.0,200000.0,RUR,2022-12-05T09:31:57+0300
Графический дизайнер,Улан-Удэ,35000.0,,RUR,2022-12-05T04:09:50+0300
Ночной помощник системного администратора в Yandex Cloud,Иркутск,32400.0,81000.0,RUR,2022-12-05T09:22:46+0300
Монтажник оборудования связи,Уфа,45000.0,,RUR,2022-12-05T08:11:39+0300
Системный администратор,Редкино (Тверская область),50000.0,,RUR,2022-12-05T11:25:30+0300
Программист,Усть-Большерецк,60000.0,100000.0,RUR,2022-12-05T06:29:21+0300
Токарь-универсал,Иркутск,50000.0,65000.0,RUR,2022-12-05T05:44:11+0300
Графический дизайнер,Новосибирск,40000.0,40000.0,RUR,2022-12-05T10:18:57+0300
Специалист по программно-аппаратной поддержке,Тюмень,35000.0,,RUR,2022-12-05T09:14:36+0300
Программист периферийных устройств (на С/C++),Владивосток,50000.0,120000.0,RUR,2022-12-05T01:36:24+0300
Инженер ОПС,Иркутск,45000.0,80000.0,RUR,2022-12-05T10:56:03+0300
Инженер по тестированию и технической поддержке,Санкт-Петербург,,80000.0,RUR,2022-12-05T10:00:17+0300
Программист 1С,Смоленск,160000.0,210000.0,RUR,2022-12-05T10:14:48+0300
Помощник системного администратора,Санкт-Петербург,45000.0,50000.0,RUR,2022-12-05T09:17:21+0300
Токарь на 16К20,Новоульяновск,88000.0,,RUR,2022-12-05T10:07:52+0300
Ночной помощник системного администратора в Yandex Cloud,Красноярск,32400.0,81000.0,RUR,2022-12-05T09:22:46+0300
Инженер-программист (PHP / HTML),Минск,1500.0,,BYR,2022-12-05T08:45:17+0300
Журналист/корреспондент,Тюмень,35000.0,45000.0,RUR,2022-12-05T07:12:14+0300
Оператор-наладчик ЧПУ (Фрезерный HAAS VF-4 +4ось),Первоуральск,60000.0,80000.0,RUR,2022-12-05T07:24:37+0300
Менеджер проекта,Кострома,158000.0,335000.0,RUR,2022-12-05T08:56:06+0300
Инженер-монтажник LED,Москва,100000.0,150000.0,RUR,2022-12-05T08:48:48+0300
Инженер-программист C/C++,Владивосток,50000.0,120000.0,RUR,2022-12-05T01:36:28+0300
Программист 1С,Москва,140000.0,140000.0,RUR,2022-12-05T09:47:09+0300
Токарь,Иваново (Ивановская область),35000.0,,RUR,2022-12-05T08:22:26+0300
Токарь,Липецк,114400.0,,RUR,2022-12-05T09:07:29+0300
Аналитик 1С,Омск,100000.0,,RUR,2022-12-05T10:12:25+0300
Фрезеровщик (универсал),Нижний Новгород,110000.0,130000.0,RUR,2022-12-05T09:16:49+0300
Системный администратор,Санкт-Петербург,55000.0,,RUR,2022-12-05T08:08:38+0300
Инженер-программист 1С,Миасс,50000.0,,RUR,2022-12-05T06:43:16+0300
Программист 1С,Петропавловск,250000.0,,KZT,2022-12-05T10:01:27+0300
Станочник широкого профиля 5 разряда,Красноярск,124000.0,138000.0,RUR,2022-12-05T08:43:51+0300
Наладчик станков и манипуляторов с ПУ - ученик,Чебаркуль,40000.0,,RUR,2022-12-05T08:10:19+0300
Оператор станка с ЧПУ на производство,Щелково,60000.0,100000.0,RUR,2022-12-05T11:55:56+0300
Токарь (Мичуринск),Пермь,96000.0,,RUR,2022-12-05T09:44:52+0300
Токарь (Мичуринск),Уфа,96000.0,,RUR,2022-12-05T09:44:52+0300
Токарь на 16К20,Ульяновск,88000.0,,RUR,2022-12-05T10:07:52+0300
Токарь-расточник (Пермь),Пермь,110000.0,,RUR,2022-12-05T09:12:11+0300
Рабочий по комплексному обслуживанию зданий,Красноярск,21000.0,,RUR,2022-12-05T04:31:41+0300
"Токарь ДИП 300, ДИП 500",Глазов,40000.0,,RUR,2022-12-05T07:49:31+0300
Unreal Developer,Таиланд,500.0,1500.0,USD,2022-12-05T09:47:22+0300
Фрезеровщик,Миасс,45000.0,45000.0,RUR,2022-12-05T06:22:51+0300
Станочник широкого профиля 5 разряда,Кемерово,124000.0,138000.0,RUR,2022-12-05T08:43:46+0300
Системный администратор,Свободный,60000.0,70000.0,RUR,2022-12-05T02:53:31+0300
Сервис-менеджер,Москва,85000.0,85000.0,RUR,2022-12-05T09:09:11+0300
Ночной помощник системного администратора в Yandex Cloud,Хабаровск,32400.0,81000.0,RUR,2022-12-05T09:22:46+0300
Начальник группы информационной безопасности,Санкт-Петербург,102000.0,,RUR,2022-12-05T08:59:41+0300
Токарь-расточник (Пермь),Тюмень,110000.0,,RUR,2022-12-05T09:12:11+0300
Токарь (Мичуринск),Ижевск,96000.0,,RUR,2022-12-05T09:44:52+0300
Наладчик станков с ЧПУ,Менделеевск,80400.0,,RUR,2022-12-05T09:38:44+0300
Инженер в отдел организации дорожного движения,Новосибирск,35000.0,39000.0,RUR,2022-12-05T08:38:40+0300
Токарь (Мичуринск),Екатеринбург,96000.0,,RUR,2022-12-05T09:44:52+0300
Механик ремонтной мастерской,Екатеринбург,124000.0,124000.0,RUR,2022-12-05T11:58:01+0300
Токарь-расточник (Пермь),Серов,110000.0,,RUR,2022-12-05T09:12:11+0300
Токарь (Мичуринск),Самара,96000.0,,RUR,2022-12-05T09:44:52+0300
Монтажник РЭА и приборов,Пенза,52200.0,,RUR,2022-12-05T09:57:42+0300
Менеджер по продукту,Ташкент,4500000.0,7000000.0,UZS,2022-12-05T09:36:14+0300
Системный инженер,Зеленоград,70000.0,,RUR,2022-12-05T11:55:50+0300
Компьютерный Мастер,Ульяновск,60000.0,,RUR,2022-12-05T11:41:13+0300
Оператор наладчик станков с ЧПУ,Подольск (Московская область),80000.0,,RUR,2022-12-05T10:41:03+0300
Senior Front-end Developer,Кипр,5500.0,7000.0,EUR,2022-12-05T10:52:43+0300
Системный администратор Linux,Ульяновск,,50000.0,RUR,2022-12-05T11:37:35+0300
"Наладчик - оператор станка с ЧПУ (лазерная резка металла, оператор листогибочного станка)",Пермь,50000.0,,RUR,2022-12-05T10:39:08+0300
Токарь (Мичуринск),Ульяновск,96000.0,,RUR,2022-12-05T09:44:52+0300
Токарь-универсал на 1М63,Екатеринбург,80000.0,80000.0,RUR,2022-12-05T07:25:49+0300
Системный администратор,Губкин,40014.0,,RUR,2022-12-05T10:20:23+0300
Копирайтер CHITA.RU,Чита,40000.0,,RUR,2022-12-05T05:01:29+0300
Наладчик технологического оборудования,Выкса,50000.0,62000.0,RUR,2022-12-05T07:38:37+0300
Авиамеханик,Москва,50000.0,,RUR,2022-12-05T11:51:33+0300
"Инженер по ремонту мобильных телефонов, планшетов, ноутбуков",Пермь,50000.0,100000.0,RUR,2022-12-05T06:12:44+0300
Токарь-расточник (Пермь),Нижний Тагил,110000.0,,RUR,2022-12-05T09:12:11+0300
Токарь-расточник (Пермь),Челябинск,110000.0,,RUR,2022-12-05T09:12:11+0300
Наладчик станков с ЧПУ (автомат),Санкт-Петербург,110000.0,,RUR,2022-12-05T11:59:25+0300
Шлифовщик,Уфа,40000.0,,RUR,2022-12-05T08:35:14+0300
